401,0,"News Online Today | publication date | 1998/04/26
GAStech-Kronos | country | Kronos
Sanjorge Jr. | country | Kronos
$50 million | country | Kronos
Abila | country | Kronos
the government of Kronos | country | Kronos
Abila | located in the administrative territorial entity | Kronos
GAStech | located in the administrative territorial entity | Kronos
GASTECH-KRONOS | located in the administrative territorial entity | Kronos
Sanjorge Jr. | located in the administrative territorial entity | Kronos
$50 million | located in the administrative territorial entity | Kronos
the government of Kronos | located in the administrative territorial entity | Kronos
Sten Sanjorge Jr. | located in the administrative territorial entity | Kronos
GAStech-Kronos | parent organization | GAStech
GAStech | parent organization | GASTECH-KRONOS
Sten Sanjorge Jr. | parent organization | GAStech
Sten Sanjorge Jr. | parent organization | GASTECH-KRONOS
Abila | parent organization | the government of Kronos
the government of Kronos | parent organization | Abila
GAStech | parent organization | the government of Kronos
GASTECH-KRONOS | parent organization | the government of Kronos
Sanjorge Jr. | parent organization | the government of Kronos
$50 million | parent organization | the government of Kronos
Sten Sanjorge Jr. | parent organization | the government of Kronos
The Light of Truth | parent organization | the government of Kronos
The Light of Truth | country | Kronos
The Light of Truth | located in the administrative territorial entity | Kronos",16.599891662597656,1152,451
654,0,"The Light of Truth | publication date | 2014/01/20
The Light of Truth | publisher | GASTECH KRONOS
The Light of Truth | location of publication | ABILA, Kronos
GAStech | location | Abila
GAStech | CEO | Sten Sanjorge Jr.
GAStech | event | GAStech IPO
Sten Sanjorge Jr. | employer | GAStech
GAStech IPO | organizer | GAStech
GAStech IPO | participant | Sten Sanjorge Jr.
Abila | contains administrative territorial entity | GAStech
Abila | contains administrative territorial entity | GASTECH KRONOS
GASTECH KRONOS | located in the administrative territorial entity | Abila
GASTECH KRONOS | country | Abila
GAStech | located in the administrative territorial entity | Abila
GAStech | country | Abila
Sten Sanjorge Jr. | country | Abila
Sten Sanjorge Jr. | located in the administrative territorial entity | Abila
GAStech IPO | country | Abila
GAStech IPO | located in the administrative territorial entity | Abila
The Light of Truth | country | Abila
The Light of Truth | located in the administrative territorial entity | Abila",9.905959129333496,1135,276
654,1,"Edvard Vann | employer | GAStech
GAStech | location | Kronos
Edvard Vann | location | Kronos
Abila | country | Kronos
government of Kronos | country | Kronos
Edvard Vann | time | 6 a.m.
GAStech | time | 6 a.m.
Edvard Vann | date | January 20
GAStech | date | January 20
government of Kronos | date | January 20
government of Kronos | time | 6 a.m.",4.724507808685303,1119,115
654,2,"Trucks | owned by | department of fire of Abila
department of fire of Abila | located in the administrative territorial entity | Abila
GAStech | located in the administrative territorial entity | Kronos
GAStech | time of event | 10:00
this time local of Kronos | part of | morning
signal of fire | detected by | department of fire of Abila
signal of fire | time of event | 10:00
signal of fire | located in the administrative territorial entity | Kronos
Trucks | used for | signal of fire
department of fire of Abila | response time | 10:00
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
Trucks | located in the administrative territorial entity | Abila
Trucks | time of event | 10:00
Trucks | event | signal of fire
department of fire of Abila | event | signal of fire
GAStech | owns | Trucks
GAStech | event | signal of fire
Kronos | contains administrative territorial entity | GAStech
Kronos | event | signal of fire
Kronos | time zone | this time local of Kronos
10:00 | part of | morning
