doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
Ravi Danisliau | affiliated with | ABILA AIRPORT
Ravi Danisliau | country | ABILA
ABILA | affiliated with | Kronos
News Online Today | affiliated with | Kronos
ABILA | contains administrative territorial entity | Ravi Danisliau
ABILA AIRPORT | country | ABILA
Kronos | affiliated with | ABILA AIRPORT
ABILA | affiliated with | ABILA AIRPORT",298,0
439,"President Sten Sanjorge Jr. | participant in | Grand Opening of the New GAStech Offices
Grand Opening of the New GAStech Offices | participant | Kronos
President Sten Sanjorge Jr. | position held | President
News Online Today | coverage | Grand Opening of the New GAStech Offices
ABILA | location of | Grand Opening of the New GAStech Offices
Kronos | participant in | Grand Opening of the New GAStech Offices
1995/10/11 | point in time | Grand Opening of the New GAStech Offices
Grand Opening of the New GAStech Offices | participant | President Sten Sanjorge Jr.
Grand Opening of the New GAStech Offices | participant | Minister Sarto
Grand Opening of the New GAStech Offices | location | ABILA
Sanjorge | participant in | Grand Opening of the New GAStech Offices
Grand Opening of the New GAStech Offices | participant | Sanjorge
News Online Today | location | ABILA
News Online Today | publication date | 1995/10/11
Minister Sarto | participant in | Grand Opening of the New GAStech Offices
Minister Sarto | position held | Minister",256,0
440,"President Luis Araullo | country | ABILA
President Luis Araullo | country | Kronos
News Online Today | publication date | 1993/02/03
News Online Today | country | ABILA
Kronos | country | President Luis Araullo
News Online Today | country | Kronos
ABILA | country | President Luis Araullo
News Online Today | country | President Luis Araullo",84,0
441,"Cesare Nespola | occupation | Minister of Health
health education | located in the administrative territorial entity | ABILA
News Online Today | publication date | 1999/07/04
News Online Today | topic | health education
Minister of Health | occupation | Minister Nespola
News Online Today | topic | clean water projects
News Online Today | topic | rural areas
health care | located in the administrative territorial entity | rural areas
Minister of Health | located in the administrative territorial entity | ABILA
News Online Today | topic | Minister Nespola
Minister Nespola | nationality | ABILA
Minister Nespola | occupation | Minister of Health
Cesare Nespola | nationality | ABILA
clean water projects | located in the administrative territorial entity | rural areas
ABILA | contains administrative territorial entity | Minister Nespola
News Online Today | topic | health care
health care | located in the administrative territorial entity | ABILA
News Online Today | topic | Oil
News Online Today | topic | ABILA
ABILA | contains administrative territorial entity | Minister of Health
clean water projects | located in the administrative territorial entity | ABILA
Oil | located in the administrative territorial entity | ABILA
News Online Today | located in the administrative territorial entity | ABILA
Gas Development | located in the administrative territorial entity | ABILA
health education | located in the administrative territorial entity | rural areas
Kronos | located in the administrative territorial entity | ABILA
ABILA | contains administrative territorial entity | Cesare Nespola
News Online Today | topic | Gas Development
News Online Today | topic | 1999/07/04
News Online Today | topic | Cesare Nespola
News Online Today | topic | Kronos
Minister of Health | occupation | Cesare Nespola
News Online Today | topic | Minister of Health",393,0
442,"Sten Sanjorge, Jr. | employer | GAStech International
GAStech International | subsidiary | GASTECH
GAStech International | subsidiary | Tethys
GAStech International | employer | Sten Sanjorge, Jr.
GAStech - Kronos' headquarters | inception | February 19
GAStech - Kronos' headquarters | located in the administrative territorial entity | Kronos
GAStech International | subsidiary | Kronos
CENTRUM | parent organization | GAStech International
February 19 | event | GAStech - Kronos' headquarters
News Online Today | publication date | 2009/05/16
GAStech International | subsidiary | CENTRUM
GASTECH | parent organization | GAStech International
Tethys | parent organization | GAStech International
Kronos | parent organization | GAStech International",186,0
443,"News Online Today | publication date | 1993/09/20
Kronos | located in the administrative territorial entity | GAStech International
ABILA | contains administrative territorial entity | Abila's Deep Water Port
1993/09/20 | point in time | News Online Today
GAStech International | contains administrative territorial entity | Kronos
News Online Today | country | GAStech International
GAStech International | contains administrative territorial entity | ABILA
Kronos | country | GAStech International
ABILA | country | GAStech International
Abila's Deep Water Port | contains administrative territorial entity | East Pier
ABILA | located in the administrative territorial entity | GAStech International
GAStech International | contains administrative territorial entity | Abila's Deep Water Port
Abila's Deep Water Port | located in the administrative territorial entity | GAStech International
East Pier | located in the administrative territorial entity | Abila's Deep Water Port
News Online Today | located in the administrative territorial entity | GAStech International
Kronos | located in the administrative territorial entity | ABILA
Abila's Deep Water Port | country | GAStech International",245,0
444,"Kronos | country | Abila police
News Online Today | country | Abila police
Abila police | country | Kronos
Abila police | country | News Online Today
Kronos | country | News Online Today
GAStech | location | ABILA
GAStech | country | News Online Today
GAStech | country | Abila police
News Online Today | location | ABILA
Kronos | location | ABILA
News Online Today | country | Kronos
News Online Today | publication date | 2014/01/21
GAStech | country | Kronos
Abila police | location | ABILA",137,0
445,"ELODIS | related to | Elodis
Wellness for All | publisher | News Online Today
WELLNESS FOR ALL | related to | Wellness for All
Elodis | publisher | News Online Today
News Online Today | publication date | 1998/11/15
ELODIS | publisher | News Online Today
Kronos | publisher | News Online Today
WELLNESS FOR ALL | publisher | News Online Today",91,0
446,"ELODIS | publisher | Wellness for All
News Online Today | publication date | 2002/05/25
Wellness for All | publisher | News Online Today
Elodis Community Health Center | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2002
ELODIS | publisher | ELODIS PUBLIC HEALTH FACT SHEET 2002
Wellness for All | inception | 1998
Kronos | publisher | News Online Today
Elodis Community Health Center | inception | 1998
Kronos | publisher | ELODIS
Elodis Community Health Center | publisher | News Online Today
ELODIS PUBLIC HEALTH FACT SHEET 2002 | publisher | ELODIS
ELODIS PUBLIC HEALTH FACT SHEET 2002 | publication date | 2002/05/25
ELODIS | inception | 1998
Elodis Community Health Center | owner | ELODIS
Kronos | inception | 1998
ELODIS | publisher | Kronos
News Online Today | publisher | ELODIS
Wellness for All | publisher | ELODIS
ELODIS PUBLIC HEALTH FACT SHEET 2002 | publisher | News Online Today
ELODIS | owner | Elodis Community Health Center",266,0
447,"News Online Today | location | ABILA
Kronos | contains administrative territorial entity | Elodis
TRAFFIC ACCIDENT NEAR ELODIS | location | ABILA
TRAFFIC ACCIDENT NEAR ELODIS | location | Kronos
GAStech International | location | Elodis
Kronos | contains administrative territorial entity | ABILA
News Online Today | location | Elodis
Elodis | country | Kronos
News Online Today | publication date | 2007/04/11
GAStech International | location | ABILA
ABILA | located in the administrative territorial entity | Kronos
TRAFFIC ACCIDENT NEAR ELODIS | publisher | News Online Today
TRAFFIC ACCIDENT NEAR ELODIS | location | Elodis
News Online Today | location | Kronos
TRAFFIC ACCIDENT NEAR ELODIS | publication date | 2007/04/11
GAStech International | location | Kronos
GAStech International | publisher | News Online Today
ABILA | country | Kronos
News Online Today | mentioned in | TRAFFIC ACCIDENT NEAR ELODIS
Elodis | located in the administrative territorial entity | Kronos
GAStech International | mentioned in | TRAFFIC ACCIDENT NEAR ELODIS",278,0
448,"GAStech | part of | Kronos Government
Kronos Government | located in the administrative territorial entity | ABILA
GAStech | located in the administrative territorial entity | ABILA
Edvard Vann | employer | Kronos Government
News Online Today | inception | 14
Edvard Vann | located in the administrative territorial entity | ABILA
Protectors of Kronos | inception | 14
Edvard Vann | country | ABILA
GAStech | inception | 14
Protectors of Kronos | located in the administrative territorial entity | ABILA
News Online Today | publication date | 2014/01/20
Protectors of Kronos | part of | Kronos Government
Edvard Vann | inception | 14
Kronos | country | ABILA
GAStech | country | ABILA
GASTECH | part of | Kronos Government
GASTECH | country | ABILA
Kronos | inception | 14
Kronos Government | inception | 14
GASTECH | located in the administrative territorial entity | ABILA
News Online Today | located in the administrative territorial entity | ABILA
Kronos Government | country | ABILA
Kronos | located in the administrative territorial entity | ABILA
GASTECH | inception | 14
Protectors of Kronos | country | ABILA",287,0
449,"Sten Sanjorge, Jr. | employer | GAStech International
GAStech International | subsidiary | GASTECH
GAStech International | subsidiary | Tethys
